screen_name,text,date,neg,neu,pos,compound
NBA,"Join us in wishing @Lanky_Smoove of the @Bucks a HAPPY 25th BIRTHDAY!

#NBABDAY #FearTheDeer https://t.co/4nCvyC50ZV",2021-02-19 13:01:07,0.0,0.576,0.424,0.8327
NBA,RT @NBAAllStar: 2021 #NBAAllStar starter @luka7doncic of the @dallasmavs in action! https://t.co/BhvThMOXtR,2021-02-19 12:52:54,0.0,1.0,0.0,0.0
NBA,RT @NBAAllStar: 2021 #NBAAllStar starter @StephenCurry30 of the @warriors in action! https://t.co/AgF8sCmOtb,2021-02-19 12:52:51,0.0,1.0,0.0,0.0
NBA,RT @NBAAllStar: 2021 #NBAAllStar starter Kawhi Leonard of the @LAClippers in action! https://t.co/RnSb7XqXUh,2021-02-19 12:52:48,0.0,1.0,0.0,0.0
NBA,RT @NBAAllStar: 2021 #NBAAllStar starter Nikola Jokic of the @nuggets in action! https://t.co/JafdzundQk,2021-02-19 12:52:45,0.0,1.0,0.0,0.0
NBA,RT @NBAAllStar: 2021 #NBAAllStar starter @KingJames of the @Lakers in action! https://t.co/tvkkI3XMq5,2021-02-19 12:52:42,0.0,1.0,0.0,0.0
NBA,RT @NBAAllStar: 2021 #NBAAllStar starter @KyrieIrving of the @BrooklynNets in action! https://t.co/9SUgVgi3XL,2021-02-19 09:00:12,0.0,1.0,0.0,0.0
NBA,RT @NBAAllStar: 2021 #NBAAllStar starter @RealDealBeal23 of the @WashWizards in action! https://t.co/pqqrrwZTIE,2021-02-19 08:56:19,0.0,1.0,0.0,0.0
NBA,RT @NBAAllStar: 2021 #NBAAllStar starter @JoelEmbiid of the @sixers in action! https://t.co/gwNy10M0ya,2021-02-19 08:06:11,0.0,1.0,0.0,0.0
NBA,RT @NBAAllStar: 2021 #NBAAllStar starter @Giannis_An34 of the @Bucks in action! https://t.co/adcaofs0FW,2021-02-19 07:34:37,0.0,1.0,0.0,0.0
NBA,RT @NBAAllStar: 2021 #NBAAllStar starter @KDTrey5 of the @BrooklynNets in action! https://t.co/UXzrcGyKoc,2021-02-19 07:01:43,0.0,1.0,0.0,0.0
F1,"Gear up for the weekend with #F1Tracks!

This week featuring @zoeweesofficial's 'Girls Like Us' and many more, now streaming on @SpotifyUK 🎶

#F1 #NewMusicFriday",2021-02-19 14:59:05,0.0,0.896,0.104,0.4199
F1,"Pietro Fittipaldi stays on as @HaasF1Team's Test and Reserve Driver for 2021 💪

#F1

https://t.co/B9dUMoq1Ec",2021-02-19 14:43:18,0.0,1.0,0.0,0.0
F1,"Nine down, one to go, as @redbullracing announce the day we'll get to see their 2021 car for the first time 👀

#F1

https://t.co/Qs60o2fsem",2021-02-19 13:40:00,0.0,1.0,0.0,0.0
